Token,LOC,PER,ORG,MISC
sSais,,,,
tuscesquestusdevraissfaire,,,,
smonsbraves,,,,
s,,,,
ssIsidoreslessinterrompitsencoresunesfois,,,,
sIlsavaitsordresdesramenersFr,,,,
d,,,,
ric,,,,
sd,,,,
finitivement,,,,
sMadamess,,,,
inqui,,,,
tait,,,,
sdessonsabsence,,,,
ss,,,,
sBien,,,,
sbiens,,,,
sonsysvas,,,,
sditsDeslaurierss,,,,
s,,,,
silsnesd,,,,
coucheraspas,,,,
s,,,,
ssEt,,,,
slesdomestiques,,,,
tantspartis,,,,
ss,,,,
sTusdevraissprierscesvieuxsdest,,,,
introduireschezslessDambreuses,,,,
sriensn,,,,
estsutilescommesdesfr,,,,
quentersunesmaisonsriches,,,,
sPuisquestusassunshabitsnoirsetsdessgantssblancs,,,,
sprofites,,,,
ens,,,,
sIlsfautsquestusaillessdansscesmondesl,,,,
s,,,,
sTusm,,,,
ysm,,,,
nerassplusstard,,,,
sUnshommes,,,,
smillions,,,,
spensesdoncs,,,,
sArrange,,,,
toispoursluisplaire,,,,
sets,,,,
ssasfemmesaussi,,,,
sDeviensssonsamants,,,,
s,,,,
ssFr,,,,
d,,,,
ricssesr,,,,
criait,,,,
ss,,,,
sMaissjestesdissl,,,,
sdesschosessclassiques,,,,
silsmessembles,,,,
sRappelle,,,,
toisRastignacsdansslasCom,,,,
dieshumaines,,,,
sTusr,,,,
ussiras,,,,
sj,,,,
enssuisss,,,,
rs,,,,
s,,,,
ssFr,,,,
d,,,,
ricsavaitstantsdesconfiancesensDeslauriers,,,,
squ,,,,
ilssessentits,,,,
branl,,,,
setsoubliantsMmesArnoux,,,,
souslascomprenantsdansslaspr,,,,
dictionsfaitessursl,,,,
autre,,,,
silsnesputss,,,,
emp,,,,
chersdessourire,,,,
ssLesclercsajoutas,,,,
ss,,,,
sDerniersconseils,,,,
spassestessexamenss,,,,
sUnstitreseststoujourssbons,,,,
setsl,,,,
che,,,,
moisfranchementstesspo,,,,
tesscatholiquessetssataniques,,,,
saussisavanc,,,,
ssensphilosophiesqu,,,,
onsl,,,,
taitsausXIIessi,,,,
cle,,,,
sTonsd,,,,
sespoirsestsb,,,,
te,,,,
sDestr,,,,
ssgrandssparticulierssontseusdesscommencementssplussdifficiles,,,,
s,,,,
scommencersparsMirabeau,,,,
sD,,,,
ailleurs,,,,
snotress,,,,
parationsnesseraspasssislongue,,,,
sJesferaisrendresgorges,,,,
smonsfilousdesp,,,,
re,,,,
sIlseststempssquesjesm,,,,
ensretourne,,,,
sadieus,,,,
s,,,,
sAs,,,,
tuscentssousspoursquesjespayesmonsd,,,,
ners,,,,
s,,,,
ssFr,,,,
d,,,,
ricsluisdonnasdixsfrancs,,,,
slesrestesdeslassommespriseslesmatins,,,,
sIsidore,,,,
ssCependants,,,,
svingtstoisessdessponts,,,,
ssurslasrivesgauche,,,,
suneslumi,,,,
resbrillaitsdansslaslucarnesd,,,,
unesmaisonsbasse,,,,
ssDeslaurierssl,,,,
aper,,,,
ut,,,,
sAlors,,,,
silsditsemphatiquement,,,,
stoutsensretirantssonschapeaus,,,,
ss,,,,
sV,,,,
nus,,,,
sreinesdesscieux,,,,
sserviteurs,,,,
sMaisslasP,,,,
nuriesestslasm,,,,
resdeslasSagesse,,,,
sNoussa,,,,
t,,,,
onsassezscalomni,,,,
sspours,,,,
a,,,,
smis,,,,
ricordes,,,,
s,,,,
ssCettesallusions,,,,
sunesaventurescommuneslessmitsensjoie,,,,
sIlssriaientstr,,,,
sshaut,,,,
sdansslessrues,,,,
ssPuis,,,,
sayantssold,,,,
ssasd,,,,
penses,,,,
sl,,,,
auberge,,,,
sDeslaurierssreconduisitsFr,,,,
d,,,,
ricsjusqu,,,,
auscarrefoursdesl,,,,
H,,,,
tel,,,,
Dieus,,,,
s,,,,
set,,,,
sapr,,,,
ssuneslongues,,,,
treinte,,,,
slessdeuxsamisssess,,,,
par,,,,
rent,,,,
ssChapitres,,,,
ssDeuxsmoissplusstard,,,,
sFr,,,,
d,,,,
ric,,,,
sd,,,,
barqu,,,,
sunsmatinsruesCoq,,,,
H,,,,
ron,,,,
ssongeasimm,,,,
diatements,,,,
sfairessasgrandesvisite,,,,
ssLeshasardsl,,,,
avaitsservi,,,,
sLesp,,,,
resRoques,,,,
taitsvenusluisapportersunsrouleausdespapiers,,,,
senslespriantsdeslessremettreslui,,,,
m,,,,
meschezsM,,,,
sDambreuses,,,,
setsilsaccompagnaitsl,,,,
envoisd,,,,
unsbilletsd,,,,
cachet,,,,
so,,,,
silspr,,,,
sentaitssonsjeunescompatriote,,,,
ssMmesMoreausparutssurprisesdescettesd,,,,
marche,,,,
sFr,,,,
d,,,,
ricsdissimulaslesplaisirsqu,,,,
ellesluiscausait,,,,
ssM,,,,
sDambreusess,,,,
appelaitsdessonsvraisnomslescomtesd,,,,
Ambreuses,,,,
smais,,,,
sd,,,,
ss,,,,
sabandonnantspeus,,,,
speussasnoblessesetssonsparti,,,,
silss,,,,
taitstourn,,,,
sverssl,,,,
industries,,,,
set,,,,
sl,,,,
oreillesdansstousslessbureaux,,,,
slasmainsdansstoutesslessentreprises,,,,
s,,,,
sl,,,,
aff,,,,
tsdessbonnessoccasions,,,,
ssubtilscommesunsGrecsetslaborieuxscommesunsAuvergnat,,,,
silsavaitsamass,,,,
sunesfortunesquesl,,,,
onsdisaitsconsid,,,,
rables,,,,
sdesplus,,,,
sils,,,,
taitsofficiersdeslasL,,,,
gionsd,,,,
honneur,,,,
smembresdusconseilsg,,,,
n,,,,
ralsdesl,,,,
Aube,,,,
sd,,,,
put,,,,
spairsdesFrancesunsdescessjourss,,,,
scomplaisantsdusreste,,,,
silsfatiguaitslesministresparssessdemandesscontinuellessdessecours,,,,
sdescroix,,,,
sdesbureauxsdestabacs,,,,
set,,,,
sdansssessbouderiesscontreslespouvoir,,,,
silsinclinaitsauscentresgauche,,,,
sSasfemme,,,,
slasjoliesMmesDambreuse,,,,
squescitaientslessjournauxsdesmodes,,,,
spr,,,,
sidaitslessassembl,,,,
essdescharit,,,,
sEnscajolantslessduchesses,,,,
sellesapaisaitslessrancunessdusnoblesfaubourgsetslaissaitscroiresquesM,,,,
sDambreusespouvaitsencoressesrepentirsetsrendresdessservices,,,,
ssLesjeuneshommes,,,,
taitstroubl,,,,
sensallantschezseux,,,,
ss,,,,
sJ,,,,
auraissmieuxsfaitsdesprendresmonshabit,,,,
sOnsm,,,,
inviterassanssdoutesausbalspourslassemainesprochaines,,,,
sQuesva,,,,
t,,,,
onsmesdires,,,,
s,,,,
ssL,,,,
aplombsluisrevintsenssongeantsquesM,,,,
sDambreusesn,,,,
taitsqu,,,,
unsbourgeois,,,,
setsilssautasgaillardementsdessonscabrioletssurslestrottoirsdeslasruesd,,,,
Anjou,,,,
ssQuandsilseutspouss,,,,
sunesdessdeuxsportesscoch,,,,
res,,,,
silstraversaslascour,,,,
sgravitslesperronsetsentrasdanssunsvestibulespav,,,,
sensmarbresdescouleur,,,,
ssUnsdoublesescaliersdroit,,,,
savecsunstapissrouges,,,,
sbaguettessdescuivre,,,,
ss,,,,
appuyaitscontreslesshautessmuraillessensstucsluisant,,,,
sIlsysavait,,,,
sausbassdessmarches,,,,
sunsbananiersdontslessfeuillesslargessretombaientssurslesvelourssdeslasrampe,,,,
sDeuxscand,,,,
labressdesbronzestenaientsdessglobessdesporcelainessuspenduss,,,,
sdesscha,,,,
nettess,,,,
slesssoupirauxsdesscalorif,,,,
ressb,,,,
antssexhalaientsunsairslourds,,,,
setsl,,,,
onsn,,,,
entendaitsqueslestic,,,,
tacsd,,,,
unesgrandeshorloge,,,,
sdress,,,,
es,,,,
sl,,,,
autresboutsdusvestibule,,,,
ssoussunespanoplie,,,,
ssUnstimbressonnas,,,,
sunsvaletsparut,,,,
setsintroduisitsFr,,,,
d,,,,
ricsdanssunespetitespi,,,,
ce,,,,
so,,,,
sl,,,,
onsdistinguaitsdeuxscoffres,,,,
forts,,,,
savecsdesscasierssremplissdescartons,,,,
sM,,,,
sDambreuses,,,,
crivaitsausmilieu,,,,
ssursunsbureaus,,,,
scylindre,,,,
ssIlsparcourutslaslettresdusp,,,,
resRoque,,,,
souvritsavecssonscanifslastoilesquisenfermaitslesspapiers,,,,
setslessexamina,,,,
ssDesloin,,,,
s,,,,
scausesdessastaillesmince,,,,
silspouvaitssemblersjeunesencore,,,,
sMaisssessraresscheveuxsblancs,,,,
ssessmembressd,,,,
bilessetssurtoutslasp,,,,
leursextraordinairesdessonsvisage,,,,
saccusaientsunstemp,,,,
ramentsd,,,,
labr,,,,
sUnes,,,,
nergiesimpitoyablesreposaitsdansssessyeuxsglauques,,,,
splussfroidssquesdessyeuxsdesverre,,,,
sIlsavaitslesspommettesssaillantes,,,,
setsdessmainss,,,,
sarticulationssnoueuses,,,,
ssEnfin,,,,
ss,,,,
tantslev,,,,
silsadressasausjeuneshommesquelquessquestionsssursdesspersonnessdesleursconnaissance,,,,
ssursNogent,,,,
ssurssess,,,,
tudess,,,,
spuissilslescong,,,,
diasenss,,,,
inclinant,,,,
sFr,,,,
d,,,,
ricssortitsparsunsautrescorridor,,,,
setssestrouvasdansslesbassdeslascour,,,,
saupr,,,,
ssdessremises,,,,
ssUnscoup,,,,
sbleu,,,,
sattel,,,,
sd,,,,
unschevalsnoir,,,,
sstationnaitsdevantslesperron,,,,
sLasporti,,,,
ress,,,,
ouvrit,,,,
sunesdamesysmonta,,,,
setslasvoiture,,,,
savecsunsbruitssourd,,,,
ssesmits,,,,
sroulerssurslessable,,,,
ssFr,,,,
d,,,,
ric,,,,
sensm,,,,
mestempssqu,,,,
elle,,,,
sarrivasdesl,,,,
autresc,,,,
t,,,,
ssousslasportescoch,,,,
re,,,,
sL,,,,
espacesn,,,,
tantspassassezslarge,,,,
silsfutscontraintsd,,,,
attendre,,,,
sLasjeunesfemme,,,,
spench,,,,
esensdehorssdusvasistas,,,,
sparlaitstoutsbassausconcierge,,,,
sIlsn,,,,
apercevaitsquessonsdos,,,,
scouvertsd,,,,
unesmantesviolette,,,,
sCependant,,,,
silsplongeaitsdanssl,,,,
int,,,,
rieursdeslasvoiture,,,,
stenduesdesrepssbleu,,,,
savecsdesspassementeriessetsdesseffil,,,,
ssdessoie,,,,
sLessv,,,,
tementssdeslasdamesl,,,,
emplissaients,,,,
silss,,,,
chappaitsdescettespetitesbo,,,,
tescapitonn,,,,
esunsparfumsd,,,,
iris,,,,
setscommesunesvaguessenteursd,,,,
l,,,,
gancessf,,,,
minines,,,,
sLescochersl,,,,
chaslessr,,,,
nes,,,,
sleschevalsfr,,,,
laslasbornesbrusquement,,,,
setstoutsdisparut,,,,
ssFr,,,,
d,,,,
ricss,,,,
ensrevints,,,,
spied,,,,
senssuivantslessboulevards,,,,
ssIlsregrettaitsdesn,,,,
avoirspusdistinguersMmesDambreuse,,,,
ssUnspeusplusshautsqueslasruesMontmartre,,,,
sunsembarrassdesvoituressluisfitstournerslast,,,,
tes,,,,
set,,,,
sdesl,,,,
autresc,,,,
t,,,,
sensface,,,,
silslutssursunesplaquesdesmarbres,,,,
ssJACQUESsARNOUX,,,,
ssCommentsn,,,,
avait,,,,
ilspasssong,,,,
s,,,,
selle,,,,
splusst,,,,
ts,,,,
sLasfautesvenaitsdesDeslauriers,,,,
setsilss,,,,
avan,,,,
asversslasboutique,,,,
silsn,,,,
entraspas,,,,
scependants,,,,
silsattenditsqu,,,,
ellespar,,,,
t,,,,
ssLesshautessglacesstransparentessoffraientsauxsregards,,,,
sdanssunesdispositionshabile,,,,
sdessstatuettes,,,,
sdessdessins,,,,
sdessgravures,,,,
sdesscatalogues,,,,
sdessnum,,,,
rossdesl,,,,
Artsindustriels,,,,
setslessprixsdesl,,,,
abonnements,,,,
taientsr,,,,
p,,,,
t,,,,
sssurslasporte,,,,
squesd,,,,
coraients,,,,
ssonsmilieu,,,,
slessinitialessdesl,,,,
diteur,,,,
sOnsapercevait,,,,
scontreslessmurs,,,,
sdesgrandsstableauxsdontslesvernissbrillait,,,,
spuis,,,,
sdansslesfondsdeuxsbahuts,,,,
scharg,,,,
ssdesporcelaines,,,,
sdesbronzes,,,,
sdescuriosit,,,,
ssall,,,,
chantess,,,,
sunspetitsescalierslesss,,,,
parait,,,,
sferm,,,,
sdanssleshautsparsunesporti,,,,
resdesmoquettes,,,,
setsunslustresensvieuxssaxe,,,,
sunstapissvertssurslesplancher,,,,
savecsunestablesensmarqueterie,,,,
sdonnaients,,,,
scetsint,,,,
rieursplut,,,,
tsl,,,,
apparencesd,,,,
unssalonsquesd,,,,
unesboutique,,,,
ssFr,,,,
d,,,,
ricsfaisaitssemblantsd,,,,
examinerslessdessins,,,,
sApr,,,,
ssdessh,,,,
sitationssinfinies,,,,
silsentra,,,,
ssUnsemploy,,,,
ssoulevaslasporti,,,,
re,,,,
setsr,,,,
ponditsquesMonsieursnesseraitspass,,,,
sausmagasins,,,,
savantscinqsheures,,,,
sMaisssislascommissionspouvaitssestransmettre,,,,
ss,,,,
sNons,,,,
sjesreviendrais,,,,
sr,,,,
pliquasdoucementsFr,,,,
d,,,,
ric,,,,
ssLessjoursssuivantssfurentsemploy,,,,
ss,,,,
ssescherchersunslogements,,,,
setsilssesd,,,,
cidaspoursuneschambresausseconds,,,,
tage,,,,
sdanssunsh,,,,
telsgarni,,,,
sruesSaint,,,,
Hyacinthe,,,,
ssEnsportantssousssonsbrassunsbuvardstoutsneuf,,,,
silssesrendits,,,,
sl,,,,
ouverturesdesscours,,,,
sTroisscentssjeunessgens,,,,
snu,,,,
t,,,,
te,,,,
semplissaientsunsamphith,,,,
treso,,,,
sunsvieillardsensrobesrougesdissertaitsd,,,,
unesvoixsmonotones,,,,
sdessplumessgrin,,,,
aientssurslespapier,,,,
sIlsretrouvaitsdansscettessallesl,,,,
odeurspoussi,,,,
reusesdessclasses,,,,
suneschairesdesformespareille,,,,
slesm,,,,
mesennuis,,,,
sPendantsquinzesjours,,,,
silsysretourna,,,,
sMaissonsn,,,,
taitspassencores,,,,
sl,,,,
articles,,,,
squ,,,,
ilsavaitsl,,,,
ch,,,,
slesCodescivil,,,,
setsilsabandonnaslessInstitutess,,,,
slasSummasdivisiospersonarum,,,,
ssLessjoiessqu,,,,
ilss,,,,
taitspromisessn,,,,
arrivaientspass,,,,
set,,,,
squandsilseuts,,,,
puis,,,,
sunscabinetsdeslecture,,,,
sparcouruslesscollectionssdusLouvre,,,,
setsplusieurssfoissdessuites,,,,
t,,,,
sausspectacle,,,,
silstombasdanssunsd,,,,
s,,,,
uvrementssanssfond,,,,
ssMilleschosessnouvellessajoutaients,,,,
ssastristesse,,,,
sIlsluisfallaitscompterssonslingesetssubirslesconcierge,,,,
srustres,,,,
stournuresd,,,,
infirmier,,,,
squisvenaitslesmatinsretaperssonslit,,,,
senssentantsl,,,,
alcoolsetsensgrommelant,,,,
sSonsappartement,,,,
sorn,,,,
sd,,,,
unespendulesd,,,,
alb,,,,
tre,,,,
sluisd,,,,
plaisait,,,,
sLesscloisonss,,,,
taientsmincess,,,,
silsentendaitsless,,,,
tudiantssfairesduspunch,,,,
srire,,,,
schanter,,,,
ssLassdescettessolitude,,,,
silsrecherchasunsdessessanciensscamaradessnomm,,,,
sBaptistesMartinons,,,,
setsilslesd,,,,
couvritsdanssunespensionsbourgeoisesdeslasruesSaint,,,,
Jacques,,,,
sb,,,,
chantssasproc,,,,
dure,,,,
sdevantsunsfeusdescharbonsdesterre,,,,
ssEnsfacesdeslui,,,,
sunesfemmesensrobesd,,,,
indiennesreprisaitsdesschaussettes,,,,
ssMartinons,,,,
taitscesqu,,,,
onsappellesunsfortsbelshommesgrand,,,,
sjoufflu,,,,
slasphysionomiesr,,,,
guli,,,,
resetsdessyeuxsbleu,,,,
tress,,,,
sfleursdest,,,,
tes,,,,
ssonsp,,,,
re,,,,
sunsgrosscultivateur,,,,
slesdestinaits,,,,
slasmagistrature,,,,
s,,,,
set,,,,
svoulantsd,,,,
j,,,,
spara,,,,
tress,,,,
rieux,,,,
silsportaitssasbarbestaill,,,,
esenscollier,,,,
ssCommeslessennuissdesFr,,,,
d,,,,
ricsn,,,,
avaientspointsdescausesraisonnablesetsqu,,,,
ilsnespouvaitsarguersd,,,,
aucunsmalheur,,,,
sMartinonsnescompritsriens,,,,
ssesslamentationsssursl,,,,
existence,,,,
sLui,,,,
silsallaitstousslessmatinss,,,,
sl,,,,
Ecole,,,,
ssespromenaitsensuitesdansslesLuxembourg,,,,
sprenaitslessoirssasdemi,,,,
tassesauscaf,,,,
set,,,,
savecsquinzescentssfrancssparsansetsl,,,,
amoursdescettesouvri,,,,
re,,,,
silssestrouvaitsparfaitementsheureux,,,,
ss,,,,
sQuelsbonheurs,,,,
s,,,,
sexclamasint,,,,
rieurementsFr,,,,
d,,,,
ric,,,,
ssIlsavaitsfaits,,,,
sl,,,,
Ecolesunesautresconnaissance,,,,
scellesdesM,,,,
sdesCisy,,,,
senfantsdesgrandesfamillesetsquissemblaitsunesdemoiselle,,,,
s,,,,
slasgentillessesdessessmani,,,,
res,,,,
ssM,,,,
sdesCisyss,,,,
occupaitsdesdessin,,,,
saimaitslesgothique,,,,
sPlusieurssfoissilssall,,,,
rentsensemblesadmirerslasSainte,,,,
ChapellesetsNotre,,,,
Dame,,,,
sMaisslasdistinctionsdusjeunespatriciensrecouvraitsunesintelligencesdessplusspauvres,,,,
sToutslessurprenaits,,,,
silsriaitsbeaucoups,,,,
slasmoindresplaisanterie,,,,
setsmontraitsunesing,,,,
nuit,,,,
ssiscompl,,,,
te,,,,
squesFr,,,,
d,,,,
ricslespritsd,,,,
abordspoursunsfarceur,,,,
setsfinalementslesconsid,,,,
rascommesunsnigaud,,,,
ssLess,,,,
panchementssn,,,,
taientsdoncspossiblessavecspersonnes,,,,
setsilsattendaitstoujourssl,,,,
invitationsdessDambreuse,,,,
ssAusjoursdesl,,,,
an,,,,
silsleursenvoyasdesscartessdesvisite,,,,
smaissilsn,,,,
ensre,,,,
utsaucune,,,,
ssIls,,,,
taitsretourn,,,,
s,,,,
sl,,,,
Artsindustriel,,,,
ssIlsysretournasunestroisi,,,,
mesfois,,,,
setsilsvitsenfinsArnouxsquissesdisputaitsausmilieusdescinqs,,,,
ssixspersonnessetsr,,,,
pondits,,,,
speines,,,,
ssonssaluts,,,,
sFr,,,,
d,,,,
ricsensfutsbless,,,,
sIlsn,,,,
enscherchaspassmoinsscommentsparvenirsjusqu,,,,
selle,,,,
ssIlseutsd,,,,
abordsl,,,,
id,,,,
esdessespr,,,,
senterssouvent,,,,
spoursmarchandersdesstableaux,,,,
sPuissilssongeas,,,,
sglissersdansslasbo,,,,
tesdusjournalsquelquessarticless,,,,
str,,,,
ssfortss,,,,
scesquisam,,,,
neraitsdessrelations,,,,
sPeut,,,,
tresvalait,,,,
ilsmieuxscourirsdroitsausbut,,,,
sd,,,,
clarerssonsamours,,,,
sAlors,,,,
silscomposasuneslettresdesdouzespages,,,,
spleinesdesmouvementsslyriquessetsd,,,,
apostrophess,,,,
smaissilslasd,,,,
chira,,,,
setsnesfitsrien,,,,
snestentasrien,,,,
s,,,,
simmobilis,,,,
sparslaspeursdesl,,,,
insucc,,,,
s,,,,
ssAu,,,,
dessussdeslasboutiquesd,,,,
Arnoux,,,,
silsysavaitsauspremiers,,,,
tagestroissfen,,,,
tres,,,,
s,,,,
clair,,,,
esschaquessoir,,,,
sDessombresscirculaientsparsderri,,,,
re,,,,
sunessurtouts,,,,
sc,,,,
taitslassiennes,,,,
s,,,,
setsilssesd,,,,
rangeaitsdestr,,,,
ssloinspoursregarderscessfen,,,,
tressetscontemplerscettesombre,,,,
ssUnesn,,,,
gresse,,,,
squ,,,,
ilscroisasunsjoursdansslessTuileriesstenantsunespetitesfillesparslasmain,,,,
sluisrappelaslasn,,,,
gressesdesMmesArnoux,,,,
sEllesdevaitsysvenirscommeslessautress,,,,
stoutesslessfoissqu,,,,
ilstraversaitslessTuileries,,,,
ssonsc,,,,
ursbattait,,,,
sesp,,,,
rantslasrencontrer,,,,
sLessjourssdessoleil,,,,
silscontinuaitssaspromenadesjusqu,,,,
ausboutsdessChamps,,,,
Elys,,,,
es,,,,
ssDessfemmes,,,,
snonchalammentsassisessdanssdesscal,,,,
ches,,,,
setsdontslessvoilessflottaientsausvent,,,,
sd,,,,
filaientspr,,,,
ssdeslui,,,,
sauspassfermesdesleursschevaux,,,,
savecsunsbalancementsinsensiblesquisfaisaitscraquerslesscuirssvernis,,,,
sLessvoituressdevenaientsplussnombreuses,,,,
set,,,,
ssesralentissants,,,,
spartirsdusRond,,,,
Point,,,,
sellessoccupaientstouteslasvoie,,,,
sLesscrini,,,,
ress,,,,
taientspr,,,,
ssdesscrini,,,,
res,,,,
slesslanternesspr,,,,
ssdesslanterness,,,,
sless,,,,
trierssd,,,,
acier,,,,
slessgourmettessd,,,,
argent,,,,
slessbouclessdescuivre,,,,
sjetaients,,,,
setsl,,,,
sdesspointsslumineuxsentreslessculottesscourtes,,,,
slessgantssblancs,,,,
setslessfourruressquisretombaientssurslesblasonsdessporti,,,,
res,,,,
sIlssessentaitscommesperdusdanssunsmondeslointain,,,,
sSessyeuxserraientssurslesst,,,,
tessf,,,,
mininess,,,,
setsdesvaguessressemblancessamenaients,,,,
ssasm,,,,
moiresMmesArnoux,,,,
sIlsseslasfigurait,,,,
sausmilieusdessautres,,,,
sdanssunsdescesspetitsscoup,,,,
s,,,,
spareilssauscoup,,,,
sdesMmesDambreuse,,,,
s,,,,
sMaisslessoleilssescouchait,,,,
setslesventsfroidssoulevaitsdesstourbillonssdespoussi,,,,
re,,,,
sLesscocherssbaissaientslesmentonsdanssleursscravates,,,,
slessrouesssesmettaients,,,,
stournersplussvite,,,,
slesmacadamsgrin,,,,
aits,,,,
setstoussless,,,,
quipagessdescendaientsausgrandstrotslaslonguesavenue,,,,
senssesfr,,,,
lant,,,,
ssesd,,,,
passant,,,,
ss,,,,
cartantslessunssdessautres,,,,
spuis,,,,
ssurslasplacesdeslasConcorde,,,,
ssesdispersaient,,,,
sDerri,,,,
reslessTuileries,,,,
slescielsprenaitslasteintesdessardoises,,,,
sLessarbressdusjardinsformaientsdeuxsmassess,,,,
normes,,,,
sviolac,,,,
essparslessommet,,,,
sLessbecssdesgazss,,,,
allumaients,,,,
setslasSeine,,,,
sverd,,,,
tresdansstoutessons,,,,
tendue,,,,
ssesd,,,,
chiraitsensmoiressd,,,,
argentscontreslesspilessdessponts,,,,
ssIlsallaitsd,,,,
ner,,,,
smoyennantsquarante,,,,
troisssolsslescachet,,,,
sdanssunsrestaurant,,,,
sruesdeslasHarpe,,,,
ssIlsregardaitsavecsd,,,,
dainslesvieuxscomptoirsd,,,,
acajou,,,,
slessserviettesstach,,,,
es,,,,
sl,,,,
argenteriescrasseusesetslesschapeauxssuspendusscontreslasmuraille,,,,
sCeuxsquisl,,,,
entouraients,,,,
taientsdess,,,,
tudiantsscommeslui,,,,
sIlsscausaientsdesleurssprofesseurs,,,,
sdesleurssma,,,,
tresses,,,,
sIlss,,,,
inqui,,,,
taitsbiensdessprofesseurss,,,,
sEst,,,,
cesqu,,,,
ilsavaitsunesma,,,,
tresses,,,,
sPours,,,,
vitersleurssjoies,,,,
silsarrivaitslesplusstardspossible,,,,
sDessrestessdesnourriturescouvraientstoutesslesstables,,,,
sLessdeuxsgar,,,,
onssfatigu,,,,
ssdormaientsdanssdesscoins,,,,
setsunesodeursdescuisine,,,,
sdesquinquetsetsdestabacsemplissaitslassallesd,,,,
serte,,,,
ssPuissilsremontaitslentementslessrues,,,,
sLessr,,,,
verb,,,,
resssesbalan,,,,
aient,,,,
sensfaisantstremblerssurslasbouesdeslongssrefletssjaun,,,,
tres,,,,
sDessombressglissaientsausbordsdesstrottoirs,,,,
savecsdessparapluies,,,,
sLespav,,,,
s,,,,
taitsgras,,,,
slasbrumestombait,,,,
setsilsluissemblaitsqueslesst,,,,
n,,,,
bresshumides,,,,
sl,,,,
enveloppant,,,,
sdescendaientsind,,,,
finimentsdansssonsc,,,,
ur,,,,
ssUnsremordsslesprit,,,,
sIlsretournasauxscours,,,,
sMaisscommesilsnesconnaissaitsriensauxsmati,,,,
ress,,,,
lucid,,,,
es,,,,
sdesschosesstr,,,,
sssimplessl,,,,
embarrass,,,,
rent,,,,
ssIlssesmits,,,,
s,,,,
criresunsromansintitul,,,,
s,,,,
sSylvio,,,,
slesfilssdusp,,,,
cheur,,,,
sLaschosessespassaits,,,,
sVenise,,,,
sLesh,,,,
ros,,,,
sc,,,,
taitslui,,,,
m,,,,
mes,,,,
sl,,,,
h,,,,
ro,,,,
ne,,,,
sMmesArnoux,,,,
sElless,,,,
appelaitsAntonias,,,,
s,,,,
set,,,,
spoursl,,,,
avoir,,,,
silsassassinaitsplusieurssgentilshommes,,,,
sbr,,,,
laitsunespartiesdeslasvillesetschantaitssousssonsbalcon,,,,
so,,,,
spalpitaients,,,,
slasbriseslessrideauxsensdamassrougesdusboulevardsMontmartre,,,,
sLessr,,,,
miniscencesstropsnombreusessdontsilss,,,,
aper,,,,
utslesd,,,,
courag,,,,
rents,,,,
silsn,,,,
allaspassplussloin,,,,
setssonsd,,,,
s,,,,
uvrementsredoubla,,,,
ssAlors,,,,
silssuppliasDeslaurierssdesvenirspartagerssaschambre,,,,
sIlsss,,,,
arrangeraientspoursvivresavecssessdeuxsmillesfrancssdespensions,,,,
stoutsvalaitsmieuxsquescettesexistencesintol,,,,
rable,,,,
sDeslaurierssnespouvaitsencoresquittersTroyes,,,,
sIlsl,,,,
engageaits,,,,
ssesdistraire,,,,
sets,,,,
sfr,,,,
quentersS,,,,
n,,,,
cal,,,,
ssS,,,,
n,,,,
cals,,,,
taitsunsr,,,,
p,,,,
titeursdesmath,,,,
matiques,,,,
shommesdesfortest,,,,
tesetsdesconvictionssr,,,,
publicaines,,,,
sunsfutursSaint,,,,
Just,,,,
sdisaitslesclerc,,,,
sFr,,,,
d,,,,
ricsavaitsmont,,,,
stroissfoisssesscinqs,,,,
tages,,,,
ssanssensrecevoirsaucunesvisite,,,,
sIlsn,,,,
ysretournasplus,,,,
ssIlsvoulutss,,,,
amuser,,,,
sIlssesrenditsauxsbalssdesl,,,,
Op,,,,
ra,,,,
sCessgaiet,,,,
sstumultueusesslesgla,,,,
aientsd,,,,
sslasporte,,,,
sD,,,,
ailleurs,,,,
sils,,,,
taitsretenusparslascraintesd,,,,
unsaffrontsp,,,,
cuniaire,,,,
ss,,,,
imaginantsqu,,,,
unssoupersavecsunsdominosentra,,,,
naits,,,,
sdessfraissconsid,,,,
rables,,,,
s,,,,
taitsunesgrossesaventure,,,,
ssIlsluissemblait,,,,
scependant,,,,
squ,,,,
onsdevaitsl,,,,
aimers,,,,
sQuelquefois,,,,
silssesr,,,,
veillaitslesc,,,,
urspleinsd,,,,
esp,,,,
rance,,,,
ss,,,,
habillaitssoigneusementscommespoursunsrendez,,,,
vous,,,,
setsilsfaisaitsdanssParissdesscoursessinterminables,,,,
sAschaquesfemmesquismarchaitsdevantslui,,,,
sousquiss,,,,
avan,,,,
aits,,,,
ssasrencontre,,,,
silssesdisaits,,,,
s,,,,
sLasvoil,,,,
s,,,,
s,,,,
sC,,,,
tait,,,,
schaquesfois,,,,
sunesd,,,,
ceptionsnouvelle,,,,
sL,,,,
id,,,,
esdesMmesArnouxsfortifiaitscessconvoitises,,,,
sIlslastrouveraitspeut,,,,
tressurssonschemins,,,,
setsilsimaginait,,,,
spoursl,,,,
aborder,,,,
sdesscomplicationssdushasard,,,,
sdessp,,,,
rilssextraordinairessdontsilslassauverait,,,,
ssAinsislessjoursss,,,,
coulaient,,,,
sdansslasr,,,,
p,,,,
titionsdessm,,,,
messennuissetsdesshabitudesscontract,,,,
